customer_id,amount
C1000,3600.0
C10001,3920.0
C10009,3600.0
C10011,3600.0
C10012,2388.0
C10013,9600.0
C10018,3600.0
C10019,9600.0
C10022,4764.0
C10025,12760.0
C10029,4760.0
C10033,4760.0
C10034,9000.0
C10039,9800.0
C10044,4000.0
C10046,3720.0
C10048,9930.0
C1005,12768.0
C10050,11990.0
C10052,3880.0
C10053,126990.0
C10055,13160.0
C10066,3600.0
C10067,9200.0
C10071,11900.0
C10072,3596.0
C10073,122870.0
C10074,3560.0
C1008,3600.0
C10080,9600.0
C10083,125920.0
C1009,9800.0
C10091,4000.0
C10093,4788.0
C10097,3600.0
C101,3600.0
C10101,10930.0
C10104,9400.0
C10106,8600.0
C10107,3180.0
C10110,4512.0
C10113,9930.0
C10118,9600.0
C10119,11880.0
C10122,8800.0
C10125,3600.0
C10134,11860.0
C10136,11940.0
C10138,7660.0
C10148,8900.0
C1015,3584.0
C10164,10000.0
C10167,9500.0
C10168,124870.0
C10173,8900.0
C10174,11880.0
C10175,9600.0
C10181,11980.0
C10190,3600.0
C10196,4000.0
C10197,15420.0
C10199,8920.0
C10200,10000.0
C10201,3600.0
C10204,13920.0
C10205,9960.0
C10207,11940.0
C10208,11900.0
C10209,9300.0
C10210,9200.0
C10214,13600.0
C10219,3920.0
C10221,11900.0
C10226,3992.0
C10227,8800.0
C10229,9600.0
C10230,4920.0
C10232,11860.0
C10236,12000.0
C10239,123870.0
C10240,9000.0
C10251,15200.0
C10253,11860.0
C10254,12000.0
C10255,4800.0
C10259,12000.0
C10260,9900.0
C10262,11860.0
C10265,8500.0
C10267,3600.0
C10268,9600.0
C10271,4776.0
C1028,3920.0
C10283,9600.0
C10289,9900.0
C10291,14000.0
C10293,15600.0
C10297,13192.0
C103,7380.0
C10308,8900.0
C10309,9200.0
C1031,3600.0
C10319,3640.0
C10328,3600.0
C10329,13572.0
C10330,2388.0
C10334,4772.0
C10336,3600.0
C10337,8800.0
C10340,3680.0
C10342,9200.0
C10344,3920.0
C10345,4760.0
C10347,13920.0
C10348,9400.0
C10349,9200.0
C10350,11880.0
C10352,8600.0
C10357,9800.0
C10364,3600.0
C10365,4320.0
C10366,126870.0
C10367,12000.0
C10368,7720.0
C10370,3600.0
C10375,5980.0
C10378,7520.0
C1038,3840.0
C10381,4000.0
C10383,9700.0
C10386,13560.0
C10387,10000.0
C1039,3564.0
C10395,3568.0
C1040,3840.0
C10402,122980.0
C10404,3800.0
C10406,9300.0
C10407,9300.0
C1042,7940.0
C10422,11870.0
C10428,12000.0
C1043,3600.0
C10435,3600.0
C10442,8990.0
C10443,11980.0
C10445,3920.0
C10450,3800.0
C10455,10130.0
C10459,4760.0
C1046,3600.0
C10460,8900.0
C10461,6750.0
C10464,9100.0
C10468,10000.0
C10469,3880.0
C1047,3840.0
C10471,125790.0
C10472,4800.0
C10475,3760.0
C1048,4772.0
C10480,3640.0
C10487,8900.0
C10490,11780.0
C10496,3840.0
C10498,8700.0
C105,11880.0
C1050,3564.0
C10502,6530.0
C10503,8900.0
C10505,11970.0
C10507,9940.0
C10508,11940.0
C1051,11940.0
C10513,3960.0
C10514,10000.0
C10515,3760.0
C10519,3600.0
C10520,8500.0
C10524,9880.0
C10526,9800.0
C10531,4792.0
C10532,2160.0
C10536,3960.0
C10537,1588.0
C10538,3600.0
C10539,10110.0
C1054,3880.0
C10542,11960.0
C10549,4760.0
C1055,3560.0
C10550,9800.0
C10561,4740.0
C10571,121860.0
C10572,3800.0
C10573,9600.0
C10576,14800.0
C10580,15564.0
C10582,11890.0
C10589,13180.0
C10593,3600.0
C10599,3600.0
C10602,125520.0
C10606,9900.0
C10607,4760.0
C10612,8900.0
C10613,7150.0
C10618,4776.0
C10623,3588.0
C10626,9800.0
C10627,9900.0
C10629,3800.0
C1063,3920.0
C10633,6580.0
C10638,12720.0
C1064,13976.0
C10645,9000.0
C10647,4772.0
C10649,3600.0
C10654,8800.0
C10655,3600.0
C10657,3960.0
C10659,11910.0
C10663,9000.0
C10665,4760.0
C10669,3640.0
C10671,3600.0
C10674,3964.0
C10681,9860.0
C10682,3600.0
C10683,3600.0
C10687,3600.0
C10689,127910.0
C10690,3600.0
C10692,4780.0
C10693,4800.0
C10698,12000.0
C107,11910.0
C10702,13984.0
C10705,3584.0
C10711,9500.0
C10716,15560.0
C10729,127950.0
C10730,8940.0
C10732,3600.0
C10739,3680.0
C10741,4760.0
C10742,14760.0
C10744,8600.0
C10745,9800.0
C10752,3720.0
C10757,9800.0
C10760,3964.0
C10761,15560.0
C10763,12768.0
C10769,8890.0
C1077,122950.0
C10771,9300.0
C10773,9540.0
C10775,126890.0
C10777,3600.0
C10783,4760.0
C10785,9600.0
C10790,11890.0
C10791,3600.0
